layer,stream,head,band,theta_k,C_k,S_k,rho,sigma1_sq,sigma2_sq,var_ratio,rope_var_rho0,rope_var_full
0,Q,2,5,2.371373706e-01,-0.000989,0.001734,-0.250608,4.928280e-01,2.219610e-01,2.220336,3.572605e-01,3.574042e-01
0,Q,2,6,1.778279410e-01,-0.000637,0.000035,0.412016,4.562911e-01,5.795746e-01,0.787286,5.179721e-01,5.179647e-01
0,Q,2,7,1.333521432e-01,-0.000775,0.000062,-0.122631,2.993548e-01,2.944960e-01,1.016499,2.969235e-01,2.969258e-01
0,Q,2,8,1.000000000e-01,0.002108,0.001763,0.560527,3.686392e-01,3.079297e-01,1.197154,3.383484e-01,3.380156e-01
0,Q,2,9,7.498942093e-02,-0.002202,0.000644,0.010662,1.919555e-01,4.364207e-01,0.439840,3.144572e-01,3.144552e-01
0,Q,2,10,5.623413252e-02,-0.004023,0.006479,0.194541,2.846362e-01,3.749802e-01,0.759070,3.299899e-01,3.295781e-01
0,Q,2,11,4.216965034e-02,-0.000137,0.011576,-0.227390,1.893129e-01,2.568284e-01,0.737118,2.230753e-01,2.236557e-01
0,Q,2,12,3.162277660e-02,-0.005526,0.013351,-0.388614,4.198484e-01,1.093345e-01,3.840037,2.637335e-01,2.648451e-01
0,Q,2,13,2.371373706e-02,0.002145,0.020309,0.272358,2.006124e-01,3.737963e-01,0.536689,2.870186e-01,2.855040e-01
0,Q,2,14,1.778279410e-02,-0.007991,0.025063,0.383860,1.473851e-01,8.289097e-01,0.177806,4.908703e-01,4.875076e-01
0,Q,2,15,1.333521432e-02,-0.017483,0.024473,0.164798,2.430920e-01,8.018688e-02,3.031568,1.602154e-01,1.596523e-01
0,Q,2,16,1.000000000e-02,-0.003392,0.048624,-0.137406,1.509540e-01,2.402188e-01,0.628402,1.957378e-01,1.970101e-01
0,Q,2,17,7.498942093e-03,-0.021037,0.007504,0.078713,4.636271e-01,4.818603e-01,0.962161,4.729355e-01,4.726563e-01
0,Q,2,18,5.623413252e-03,-0.037860,0.065093,0.427157,3.892047e-01,1.897403e-01,2.051250,2.856967e-01,2.781407e-01
0,Q,2,19,4.216965034e-03,-0.058139,0.058002,-0.272626,1.591592e-01,9.777512e-01,0.162781,5.922513e-01,5.984892e-01
0,Q,2,20,3.162277660e-03,0.029071,0.005782,-0.173310,1.682674e+00,3.739791e-01,4.499380,1.047349e+00,1.048144e+00
0,Q,2,21,2.371373706e-03,-0.029757,0.201586,-0.645754,5.197482e+00,4.877735e-01,10.655524,2.772555e+00,2.979823e+00
0,Q,2,22,1.778279410e-03,0.115461,0.063392,0.087652,4.933242e-01,2.631463e-01,1.874714,3.915236e-01,3.895216e-01
0,Q,2,23,1.333521432e-03,-0.134071,0.058145,0.280078,4.485515e-01,2.527859e-01,1.774433,3.375455e-01,3.320618e-01
0,Q,2,24,1.000000000e-03,-0.199597,0.385077,-0.279944,1.201556e-01,1.620728e-01,0.741368,1.452974e-01,1.603408e-01
0,Q,2,25,7.498942093e-04,0.022292,0.650353,0.290153,4.025602e-01,1.248236e-01,3.225034,2.667875e-01,2.244876e-01
0,Q,2,26,5.623413252e-04,0.322370,0.724679,0.107779,8.546246e-01,1.985962e-01,4.303327,6.323523e-01,6.001746e-01
