model,stream,layer,n,rho_mean,rho_p95,rho_max,varhet_mean,varhet_p95
llama-3.1-8b,K,0,512,0.367566,0.815612,0.999354,1.053060,2.751223
llama-3.1-8b,K,1,512,0.214922,0.592989,0.873062,1.443002,3.468396
llama-3.1-8b,K,2,512,0.138423,0.439451,0.880190,0.478910,1.668322
llama-3.1-8b,K,3,512,0.156295,0.481473,0.832659,0.537775,1.874176
llama-3.1-8b,K,4,512,0.163363,0.473779,0.926641,0.521111,1.799709
llama-3.1-8b,K,5,512,0.146163,0.447336,0.973203,0.451551,1.429090
llama-3.1-8b,K,6,512,0.147998,0.517087,0.753421,0.474436,1.394728
llama-3.1-8b,K,7,512,0.150995,0.460749,0.824654,0.483557,1.428147
llama-3.1-8b,K,8,512,0.153873,0.480391,0.743873,0.493564,1.537712
llama-3.1-8b,K,9,512,0.154340,0.505775,0.798521,0.537438,1.512684
llama-3.1-8b,K,10,512,0.134871,0.375104,0.824842,0.454832,1.397845
llama-3.1-8b,K,11,512,0.135148,0.415521,0.789938,0.468581,1.362294
llama-3.1-8b,K,12,512,0.140488,0.409542,0.750781,0.530097,1.457321
llama-3.1-8b,K,13,512,0.158172,0.483091,0.780886,0.466820,1.399091
llama-3.1-8b,K,14,512,0.134784,0.436138,0.752356,0.508421,1.407058
llama-3.1-8b,K,15,512,0.140151,0.393264,0.703912,0.499048,1.482248
llama-3.1-8b,K,16,512,0.138516,0.436642,0.883371,0.462780,1.504411
llama-3.1-8b,K,17,512,0.136434,0.379181,0.656642,0.466735,1.388587
llama-3.1-8b,K,18,512,0.131530,0.427087,0.863616,0.436457,1.316657
llama-3.1-8b,K,19,512,0.144411,0.371795,0.877715,0.418833,1.336019
llama-3.1-8b,K,20,512,0.140834,0.372192,0.768794,0.410588,1.251535
llama-3.1-8b,K,21,512,0.148535,0.437205,0.835266,0.453439,1.426429
llama-3.1-8b,K,22,512,0.143986,0.380532,0.751931,0.427903,1.255837
llama-3.1-8b,K,23,512,0.140883,0.395713,0.822027,0.395494,1.319548
llama-3.1-8b,K,24,512,0.139741,0.439105,0.747488,0.408744,1.278154
llama-3.1-8b,K,25,512,0.155014,0.484852,0.806711,0.410466,1.328006
llama-3.1-8b,K,26,512,0.154960,0.483388,0.790248,0.402737,1.286328
llama-3.1-8b,K,27,512,0.155347,0.443557,0.870957,0.394382,1.210170
llama-3.1-8b,K,28,512,0.117966,0.330318,0.661503,0.426461,1.316292
llama-3.1-8b,K,29,512,0.132490,0.412229,0.775679,0.334593,0.900572
llama-3.1-8b,K,30,512,0.163958,0.449989,0.786761,0.431384,1.335306
llama-3.1-8b,K,31,512,0.147688,0.413865,0.677834,0.455188,1.455898
llama-3.1-8b-instruct,Q,0,2048,0.375976,0.820776,0.997608,0.845286,2.245670
llama-3.1-8b-instruct,Q,1,2048,0.238221,0.599532,0.985976,1.004789,2.672317
llama-3.1-8b-instruct,Q,2,2048,0.139956,0.398659,0.865055,0.421479,1.460602
llama-3.1-8b-instruct,Q,3,2048,0.138405,0.375721,0.794090,0.417785,1.384905
llama-3.1-8b-instruct,Q,4,2048,0.162028,0.416405,0.974419,0.458557,1.517839
llama-3.1-8b-instruct,Q,5,2048,0.148593,0.441230,0.958133,0.383604,1.214718
llama-3.1-8b-instruct,Q,6,2048,0.140362,0.383628,0.782650,0.372018,1.149908
llama-3.1-8b-instruct,Q,7,2048,0.135352,0.381528,0.732430,0.354848,1.080058
llama-3.1-8b-instruct,Q,8,2048,0.138274,0.385809,0.797513,0.376725,1.137635
