layer,stream,head,band,theta_k,C_k,S_k,rho,sigma1_sq,sigma2_sq,var_ratio,rope_var_rho0,rope_var_full
0,Q,10,0,1.000000000e+00,-0.000141,-0.000114,-0.880748,2.972883e+00,2.567691e+00,1.157804,2.770258e+00,2.769980e+00
0,Q,10,1,7.498942093e-01,-0.000302,-0.000091,-0.112925,2.131753e-01,8.555807e-01,0.249159,5.344749e-01,5.344705e-01
0,Q,10,2,5.623413252e-01,-0.000657,0.000585,0.578344,3.341347e-01,3.970043e-01,0.841640,3.655902e-01,3.654670e-01
0,Q,10,3,4.216965034e-01,-0.000354,-0.000042,0.338704,1.961645e-01,1.037221e-01,1.891251,1.499269e-01,1.499289e-01
0,Q,10,4,3.162277660e-01,0.000501,0.000498,0.461617,3.406569e-01,3.532441e-01,0.964367,3.469473e-01,3.468676e-01
0,Q,10,5,2.371373706e-01,-0.000989,0.001734,-0.053643,1.264431e-01,2.254587e-01,0.560826,1.759999e-01,1.760156e-01
0,Q,10,6,1.778279410e-01,-0.000637,0.000035,-0.247227,2.117855e-01,1.105086e-01,1.916463,1.611148e-01,1.611161e-01
0,Q,10,7,1.333521432e-01,-0.000775,0.000062,-0.380223,2.806143e-01,2.722551e-01,1.030703,2.764315e-01,2.764380e-01
0,Q,10,8,1.000000000e-01,0.002108,0.001763,-0.219478,1.391381e-01,5.026091e-02,2.768315,9.479314e-02,9.482549e-02
0,Q,10,9,7.498942093e-02,-0.002202,0.000644,0.034729,2.336385e-01,6.541529e-01,0.357162,4.443587e-01,4.443499e-01
0,Q,10,10,5.623413252e-02,-0.004023,0.006479,-0.291772,1.916700e-01,1.731350e-01,1.107055,1.823652e-01,1.827096e-01
0,Q,10,11,4.216965034e-02,-0.000137,0.011576,0.120006,1.043767e-01,6.375746e-02,1.637090,8.406431e-02,8.395098e-02
0,Q,10,12,3.162277660e-02,-0.005526,0.013351,0.045656,1.156553e-01,1.188805e-01,0.972871,1.172768e-01,1.172053e-01
0,Q,10,13,2.371373706e-02,0.002145,0.020309,-0.392468,2.662120e-01,1.460068e+00,0.182328,8.618594e-01,8.668286e-01
0,Q,10,14,1.778279410e-02,-0.007991,0.025063,0.135208,1.521403e-01,2.184922e-01,0.696319,1.855813e-01,1.849635e-01
0,Q,10,15,1.333521432e-02,-0.017483,0.024473,-0.568278,3.956925e-01,3.244402e-01,1.219616,3.594435e-01,3.644265e-01
0,Q,10,16,1.000000000e-02,-0.003392,0.048624,0.175035,1.491517e-01,1.622392e-01,0.919332,1.557176e-01,1.543937e-01
0,Q,10,17,7.498942093e-03,-0.021037,0.007504,0.241647,1.714718e-01,1.558968e-01,1.099905,1.635205e-01,1.632240e-01
0,Q,10,18,5.623413252e-03,-0.037860,0.065093,-0.081389,1.349763e-01,1.539942e-01,0.876503,1.448453e-01,1.456091e-01
0,Q,10,19,4.216965034e-03,-0.058139,0.058002,0.269772,1.361318e-01,1.396153e-01,0.975049,1.379748e-01,1.358176e-01
0,Q,10,20,3.162277660e-03,0.029071,0.005782,0.837251,2.132594e-01,1.842087e+00,0.115771,1.003998e+00,1.000964e+00
0,Q,10,21,2.371373706e-03,-0.029757,0.201586,-0.587991,1.245669e-01,2.170040e-01,0.574030,1.721608e-01,1.916487e-01
0,Q,10,22,1.778279410e-03,0.115461,0.063392,-0.148608,3.296659e-01,2.128273e-01,1.548983,2.779918e-01,2.804871e-01
0,Q,10,23,1.333521432e-03,-0.134071,0.058145,0.866155,8.683194e-01,2.368779e-01,3.665683,5.102698e-01,4.874291e-01
0,Q,10,24,1.000000000e-03,-0.199597,0.385077,-0.705933,1.960269e-01,3.434246e-01,0.570800,2.844358e-01,3.549676e-01
0,Q,10,25,7.498942093e-04,0.022292,0.650353,-0.681203,2.712624e-01,2.157780e-01,1.257136,2.441386e-01,3.513212e-01
0,Q,10,26,5.623413252e-04,0.322370,0.724679,0.741841,5.104814e-01,2.677020e-01,1.906902,4.282240e-01,2.294900e-01
0,Q,10,27,4.216965034e-04,0.571593,0.669410,0.774622,4.576453e-01,2.283960e-01,2.003736,4.085394e-01,2.408942e-01
0,Q,10,28,3.162277660e-04,0.742743,0.562238,-0.269424,2.641998e-01,1.489126e-01,1.774194,2.493705e-01,2.794167e-01
0,Q,10,29,2.371373706e-04,0.849905,0.448857,-0.286447,1.776879e-01,2.373659e-01,0.748582,1.821666e-01,2.085718e-01
